CD_IMOVEL;SETOR;CIDADE;COD_DESTINACAO_IMOVEL;ANO_VENDA;EDITAL_VENDA;ITEM_EDITAL;VALOR_LAUDO;VALOR_VENDA;AREA_MAX_CONSTR;AREA_MAXIMA;AREA;QTD_OFERTAS
819084;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;2020;3;69;105000;105000;127.4;273;91;1
809593;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;3;70;80800;131499;104.426;149.18;74.59;3
809595;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;3;72;61500;115000;76.272;108.96;54.48;4
808213;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;3;73;55100;57000;67.284;96.12;48.06;1
808214;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;3;74;57000;80000;70;100;50;4
803172;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60223;2020;3;75;1870000;2108000;3625.986;6474.975;2589.99;2
465887;QS-SAMAMBAIA;SAMAMBAIA;60219;2020;3;79;166000;171923;600;900;300;1
465888;QS-SAMAMBAIA;SAMAMBAIA;60219;2020;3;80;166000;176329;600;900;300;1
458295;QN-SAMAMBAIA;SAMAMBAIA;60220;2020;3;81;151000;163013;300;450;150;1
188107;QN-SAMAMBAIA;SAMAMBAIA;60220;2020;3;89;846000;948799;2015;3022.5;1007.5;2
524732;AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;2020;3;93;150000;160000;560;560;280;1
524742;AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;2020;3;94;112000;223000;400;400;200;11
524746;AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;2020;3;95;112000;178000;400;400;200;2
589903;SOBRADINHO                                   ;SOBRADINHO;60214;2020;3;100;328600;331000;735;735;350;1
819232;BAIRRO RESIDENCIAL OESTE;SAO SEBASTIAO;60222;2020;3;100;266000;331000;360;360;240;1
169642;BAIRRO AGUAS CLARAS-QS;TAGUATINGA;60213;2020;4;1;805000;806000;1440;1440;480;2
56925;SETOR DE HABITACOES INDIVIDUAIS NORTE        ;BRASILIA;60211;2020;4;7;841000;850100;1037.862;1037.862;741.33;3
508684;SETOR DE HABITACOES INDIVIDUAIS NORTE        ;BRASILIA;60219;2020;4;8;3740000;5319999;14582.592;14582.592;12152.16;1
493429;SETOR DE DESENVOLVIMENTO ECONOMICO CENTRO NORTE;CEILANDIA;60227;2020;4;15;135000;171000;300;300;150;2
101842;SETOR CENTRAL                                ;GAMA;60213;2020;4;16;910000;1351000;4160;4160;520;2
101843;SETOR CENTRAL                                ;GAMA;60213;2020;4;17;910000;1311000;4160;4160;520;2
101844;SETOR CENTRAL                                ;GAMA;60213;2020;4;18;910000;2101000;4160;4160;520;5
101845;SETOR CENTRAL                                ;GAMA;60213;2020;4;19;910000;1715000;4160;4160;520;4
60941;SETOR LESTE                                  ;GAMA;60214;2020;4;20;58000;152500;550;550;275;52
60314;SETOR CENTRAL                                ;GAMA;60216;2020;4;21;230000;463000;216;432;108;10
132932;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60213;2020;4;28;8785000;9051000;8100;9450;2700;2
562926;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60213;2020;4;29;10347000;10616000;9540;11130;3180;2
490905;SETOR COMPLEMENTAR INDUSTRIA E ABASTECIMENTO;GUARA;60224;2020;4;29;6370000;10616000;7759.8;9053.1;4311;2
594855;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;4;30;201000;251000;345.6;345.6;144;8
559393;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;4;33;410000;480000;1350;1350;900;10
559129;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;4;34;463000;537100;1200;1200;800;3
559260;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;4;36;555000;585160.27;1752.57;1752.57;1168.38;1
241897;PLACA DA MERCEDES                            ;NUCLEO BANDEIRANTE;60227;2020;4;40;413000;413500;319.175;431.825;187.75;1
597818;SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;2020;4;46;40600;62770;120;120;60;3
599041;SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;2020;4;47;40600;62770;120;120;60;3
599042;SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;2020;4;48;40600;62770;120;120;60;3
599043;SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;2020;4;49;40600;43010;120;120;60;3
599044;SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;2020;4;50;40600;42010;120;120;60;2
599045;SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;2020;4;51;40600;42010;120;120;60;2
599046;SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;2020;4;52;40600;45010;120;120;60;3
244881;RECANTO DAS EMAS;RECANTO DAS EMAS;60317;2020;4;57;4458000;6600100;498.605;498.605;997.21;4
833254;CENTRO URBANO;RECANTO DAS EMAS;60222;2020;4;58;6333000;7501000;18558.072;41240.16;10310.04;2
75593;QN-SAMAMBAIA;SAMAMBAIA;60217;2020;4;70;118000;163389.87;200;350;100;3
166780;QS-SAMAMBAIA;SAMAMBAIA;60217;2020;4;73;143000;148056.78;200;350;100;2
166994;QS-SAMAMBAIA;SAMAMBAIA;60217;2020;4;74;143000;180001;200;350;100;5
194648;QS-SAMAMBAIA;SAMAMBAIA;60217;2020;4;75;143000;179000;200;350;100;3
457205;QN-SAMAMBAIA;SAMAMBAIA;60219;2020;4;79;109000;141013;200;300;100;2
457206;QN-SAMAMBAIA;SAMAMBAIA;60219;2020;4;80;109000;136013;200;300;100;2
186454;QN-SAMAMBAIA;SAMAMBAIA;60219;2020;4;91;179000;195000;300;450;150;2
468793;QS-SAMAMBAIA;SAMAMBAIA;60220;2020;4;116;113000;115000;400;600;200;1
244536;QS-SAMAMBAIA;SAMAMBAIA;60220;2020;4;117;89500;89500;300;450;150;1
525019;AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60227;2020;4;120;87000;96291.3;210;210;105;1
60123;SETOR INDUSTRIAL                             ;TAGUATINGA;60220;2020;4;128;818000;820000;1100;1650;550;1
60127;SETOR INDUSTRIAL                             ;TAGUATINGA;60220;2020;4;131;818000;818000;1100;1650;550;1
63560;SETOR M NORTE-QUADRA RESIDENCIAL             ;TAGUATINGA;60220;2020;4;132;1300000;1310000;2400;3600;1200;1
169126;BAIRRO AGUAS CLARAS-QS;TAGUATINGA;60219;2020;5;2;1250000;1306000;2240;2240;1120;1
807152;SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;1894;2020;5;3;6200000;6512012;2286;2286;900;1
834232;SETOR DE HAB COLETIVAS SUDOESTE              ;BRASILIA;60066;2020;5;5;673000;776581.12;149.3;149.3;149.3;6
181101;SETOR N NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60217;2020;5;8;3000000;3012100;3445.7;10337.1;1722.85;1
52987;SETOR N NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60214;2020;5;9;142000;142000;500;500;250;1
182316;SETOR N NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60216;2020;5;10;786000;851550;1932;2898;966;1
181103;SETOR N NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60217;2020;5;12;2000000;2017100;2117.74;6353.22;1058.87;1
181105;SETOR N NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60217;2020;5;13;2140000;2152100;2294.74;6884.22;1147.37;1
493497;SETOR DE DESENVOLVIMENTO ECONOMICO CENTRO NORTE;CEILANDIA;60224;2020;5;15;330000;402347.49;1200;1200;600;5
66931;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;17;207000;266999.99;1400;1400;700;1
66933;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;19;207000;238999.99;1400;1400;700;1
66934;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;20;207000;217350;1400;1400;700;1
66935;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;21;207000;241999.99;1400;1400;700;1
66936;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;22;207000;217350;1400;1400;700;1
66937;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;23;207000;238999.99;1400;1400;700;1
66938;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;24;207000;230000;1400;1400;700;2
66939;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;25;207000;239999.99;1400;1400;700;1
66940;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;26;207000;230000;1400;1400;700;2
66941;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;27;207000;241999.99;1400;1400;700;1
66942;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;5;28;207000;230000;1400;1400;700;1
493418;SETOR DE DESENVOLVIMENTO ECONOMICO CENTRO NORTE;CEILANDIA;60227;2020;5;30;135000;161100;300;300;150;2
213358;SETOR DE MATERIAL DE CONSTRUCAO              ;CEILANDIA;60227;2020;5;31;39400;42000;140;140;70;3
559545;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;5;36;426000;503167;1417.11;1417.11;944.74;7
559195;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;5;37;463000;471500;1200;1200;800;2
559236;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;5;38;419000;447000;1260;1260;840;4
559595;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;5;40;374000;451000;1200;1200;800;7
510235;SETOR HABITACIONAL TAQUARI;LAGO NORTE;60211;2020;5;42;412000;505000.99;636.4;636.4;795.5;12
510600;SETOR HABITACIONAL TAQUARI;LAGO NORTE;60211;2020;5;43;450000;623000;724.576;724.576;905.72;12
807407;PARANOÁ PARQUE;PARANOA;60221;2020;5;44;1840000;1850000;3420.013;6156.023;3420.013;1
245012;RECANTO DAS EMAS;RECANTO DAS EMAS;60217;2020;5;52;226000;236000;486.702;621.897;270.39;1
472561;AREA DE DESENVOLVIMENTO ECONOMICO;RECANTO DAS EMAS;60227;2020;5;55;311000;333891.71;1060;1060;265;1
808747;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;2020;5;57;157000;311000;211.512;453.24;151.08;6
79113;QN-SAMAMBAIA;SAMAMBAIA;60217;2020;5;59;1220000;1700010;3931.454;3931.454;1156.31;1
457219;QN-SAMAMBAIA;SAMAMBAIA;60220;2020;5;66;109000;140000;200;300;100;2
457220;QN-SAMAMBAIA;SAMAMBAIA;60220;2020;5;67;109000;136000;200;300;100;5
458556;QN-SAMAMBAIA;SAMAMBAIA;60220;2020;5;69;109000;135100;200;300;100;1
59809;SETOR E SUL-QUADRA COMERCIAL                 ;TAGUATINGA;60217;2020;5;81;203000;203000;200;400;100;1
211901;BAIRRO AGUAS CLARAS;TAGUATINGA;60219;2020;8;1;6950000;14109999;20000;20000;4000;8
472704;BAIRRO AGUAS CLARAS-QS;TAGUATINGA;60225;2020;8;4;596000;712965.89;1250;1250;625;5
64691;SETOR P NORTE-ENTREQUADRA                    ;CEILANDIA;60216;2020;8;12;923000;923000;2123.5;4247;1061.75;1
64348;SETOR O NORTE                                ;CEILANDIA;60217;2020;8;16;1740000;2158000;5100;7650;2550;2
156809;SETOR O NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60219;2020;8;19;343000;401865;730;1095;365;1
66930;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;8;20;207000;286262;1400;1400;700;5
66932;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;8;21;207000;262220;1400;1400;700;3
66943;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;8;22;207000;237560;1400;1400;700;1
197972;SETOR NORTE                                  ;GAMA;60228;2020;8;28;1050000;1208000;7000;7000;3500;2
151611;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60216;2020;8;29;5283000;6010000;3000;4000;1000;1
559259;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;8;33;551000;635555.99;1738.41;1738.41;1158.94;8
558903;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60222;2020;8;34;3530000;3539990;7636.224;7636.224;6363.52;1
558983;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60228;2020;8;35;1810000;1820000;3276;3276;2730;1
472473;AREA DE DESENVOLVIMENTO ECONOMICO;RECANTO DAS EMAS;60227;2020;8;46;151000;176670;488.4;488.4;122.1;2
803166;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;2020;8;50;405000;410000;630;1350;450;1
819092;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;2020;8;53;102000;155000;127.4;273;91;10
819272;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;8;54;387000;483750;672.42;1440.9;480.3;3
185847;QN-SAMAMBAIA;SAMAMBAIA;60217;2020;8;56;118000;118050;200;350;100;1
565005;QR-SAMAMBAIA;SAMAMBAIA;60217;2020;8;58;766000;766500;2812.04;2812.04;703.01;1
75316;QN-SAMAMBAIA;SAMAMBAIA;60219;2020;8;60;1830000;2602000;3740;5610;1870;4
193928;QN-SAMAMBAIA;SAMAMBAIA;60219;2020;8;61;1320000;1325990;2671.104;4006.656;1335.552;1
167566;QN-SAMAMBAIA;SAMAMBAIA;60219;2020;8;62;1090000;1100000;2200;3300;1100;1
167570;QN-SAMAMBAIA;SAMAMBAIA;60219;2020;8;63;133000;189599;200;300;100;9
81099;QS-SAMAMBAIA;SAMAMBAIA;60219;2020;8;77;133000;145000;200;300;100;2
81100;QS-SAMAMBAIA;SAMAMBAIA;60219;2020;8;78;133000;145000;200;300;100;1
81101;QS-SAMAMBAIA;SAMAMBAIA;60219;2020;8;79;133000;145000;200;300;100;2
