DS_SETOR;DS_CIDADE;COD_DESTINACAO_IMOVEL;EDITAL_VENDA;ITEM_EDITAL;VALOR_LAUDO;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS;SITUACAO_VISTORIA;AGIO_ABSOLUTO;AGIO_PERCENTUAL
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;04/2020;34;463000;537100.0;1200.0;1200.0;800.0;3;VAGO;74100.0;16.004319654427647
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;04/2020;36;555000;585160.27;1752.57;1752.57;1168.38;1;OCUPADO;30160.27000000002;5.434282882882886
PLACA DA MERCEDES                            ;NUCLEO BANDEIRANTE;60227;04/2020;40;413000;413500.0;431.825;319.175;187.75;1;OCUPADO;500.0;0.12106537530266344
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;04/2020;46;40600;62770.0;120.0;120.0;60.0;3;VAGO;22170.0;54.60591133004926
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;04/2020;47;40600;62770.0;120.0;120.0;60.0;3;VAGO;22170.0;54.60591133004926
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;04/2020;48;40600;62770.0;120.0;120.0;60.0;3;VAGO;22170.0;54.60591133004926
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;04/2020;49;40600;43010.0;120.0;120.0;60.0;3;VAGO;2410.0;5.935960591133005
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;04/2020;50;40600;42010.0;120.0;120.0;60.0;2;VAGO;1410.0;3.472906403940887
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;04/2020;51;40600;42010.0;120.0;120.0;60.0;2;VAGO;1410.0;3.472906403940887
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;04/2020;52;40600;45010.0;120.0;120.0;60.0;3;VAGO;4410.0;10.86206896551724
RECANTO DAS EMAS;RECANTO DAS EMAS;60317;04/2020;57;4458000;6600100.0;498.605;498.605;997.21;4;OBSTRUIDO;2142100.0;48.05069537909377
CENTRO URBANO;RECANTO DAS EMAS;60222;04/2020;58;6333000;7501000.0;41240.16;18558.072;10310.04;2;VAGO;1168000.0;18.443075951365863
QN-SAMAMBAIA;SAMAMBAIA;60217;04/2020;70;118000;163389.87;350.0;200.0;100.0;3;OBSTRUIDO;45389.869999999995;38.465991525423725
QS-SAMAMBAIA;SAMAMBAIA;60217;04/2020;73;143000;148056.78;350.0;200.0;100.0;2;VAGO;5056.779999999999;3.536209790209789
QS-SAMAMBAIA;SAMAMBAIA;60217;04/2020;74;143000;180001.0;350.0;200.0;100.0;5;VAGO;37001.0;25.874825174825173
QS-SAMAMBAIA;SAMAMBAIA;60217;04/2020;75;143000;179000.0;350.0;200.0;100.0;3;VAGO;36000.0;25.174825174825177
QN-SAMAMBAIA;SAMAMBAIA;60219;04/2020;79;109000;141013.0;300.0;200.0;100.0;2;EM CONSTRUCAO;32013.0;29.369724770642204
QN-SAMAMBAIA;SAMAMBAIA;60219;04/2020;80;109000;136013.0;300.0;200.0;100.0;2;VAGO;27013.0;24.78256880733945
QN-SAMAMBAIA;SAMAMBAIA;60219;04/2020;91;179000;195000.0;450.0;300.0;150.0;2;EM CONSTRUCAO;16000.0;8.938547486033519
QS-SAMAMBAIA;SAMAMBAIA;60220;04/2020;116;113000;115000.0;600.0;400.0;200.0;1;VAGO;2000.0;1.7699115044247788
QS-SAMAMBAIA;SAMAMBAIA;60220;04/2020;117;89500;89500.0;450.0;300.0;150.0;1;VAGO;0.0;0.0
AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60227;04/2020;120;87000;96291.3;210.0;210.0;105.0;1;VAGO;9291.300000000003;10.679655172413796
SETOR INDUSTRIAL                             ;TAGUATINGA;60220;04/2020;128;818000;820000.0;1650.0;1100.0;550.0;1;VAGO;2000.0;0.24449877750611246
SETOR INDUSTRIAL                             ;TAGUATINGA;60220;04/2020;131;818000;818000.0;1650.0;1100.0;550.0;1;VAGO;0.0;0.0
SETOR M NORTE-QUADRA RESIDENCIAL             ;TAGUATINGA;60220;04/2020;132;1300000;1310000.0;3600.0;2400.0;1200.0;1;OBSTRUIDO;10000.0;0.7692307692307693
BAIRRO AGUAS CLARAS-QS;TAGUATINGA;60219;05/2020;2;1250000;1306000.0;2240.0;2240.0;1120.0;1;CERCADO;56000.0;4.4799999999999995
SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;1894;05/2020;3;6200000;6512012.0;2286.0;2286.0;900.0;1;VAGO;312012.0;5.032451612903226
SETOR DE HAB COLETIVAS SUDOESTE              ;BRASILIA;60066;05/2020;5;673000;776581.12;149.3;149.3;149.3;6;CONSTRUIDO;103581.12;15.390953937592865
SETOR N NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60217;05/2020;8;3000000;3012100.0;10337.1;3445.7;1722.85;1;OBSTRUIDO;12100.0;0.4033333333333333
SETOR N NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60214;05/2020;9;142000;142000.0;500.0;500.0;250.0;1;OCUPADO;0.0;0.0
SETOR N NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60216;05/2020;10;786000;851550.0;2898.0;1932.0;966.0;1;VAGO;65550.0;8.33969465648855
SETOR N NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60217;05/2020;12;2000000;2017100.0;6353.22;2117.74;1058.87;1;OBSTRUIDO;17100.0;0.855
